workerid,map,praise,trial
102,images/gen_models/gen_models.045.png,71,45
102,images/gen_models/gen_models.015.png,32,15
102,images/gen_models/gen_models.023.png,28,23
102,images/gen_models/gen_models.043.png,85,43
102,images/gen_models/gen_models.019.png,25,19
102,images/gen_models/gen_models.001.png,78,1
102,images/gen_models/gen_models.036.png,76,36
102,images/gen_models/gen_models.004.png,50,4
102,images/gen_models/gen_models.048.png,56,48
102,images/gen_models/gen_models.033.png,88,33
102,images/gen_models/gen_models.006.png,50,6
102,images/gen_models/gen_models.016.png,38,16
102,images/gen_models/gen_models.013.png,75,13
102,images/gen_models/gen_models.010.png,63,10
102,images/gen_models/gen_models.025.png,86,25
102,images/gen_models/gen_models.002.png,18,2
102,images/gen_models/gen_models.050.png,56,50
102,images/gen_models/gen_models.003.png,64,3
102,images/gen_models/gen_models.029.png,23,29
102,images/gen_models/gen_models.034.png,65,34
102,images/gen_models/gen_models.054.png,56,54
63,images/gen_models/gen_models.052.png,49,52
63,images/gen_models/gen_models.007.png,53,7
63,images/gen_models/gen_models.053.png,41,53
63,images/gen_models/gen_models.002.png,26,2
63,images/gen_models/gen_models.014.png,53,14
63,images/gen_models/gen_models.008.png,48,8
63,images/gen_models/gen_models.016.png,32,16
63,images/gen_models/gen_models.025.png,92,25
63,images/gen_models/gen_models.020.png,70,20
63,images/gen_models/gen_models.023.png,21,23
63,images/gen_models/gen_models.034.png,66,34
63,images/gen_models/gen_models.042.png,36,42
63,images/gen_models/gen_models.049.png,16,49
63,images/gen_models/gen_models.044.png,16,44
63,images/gen_models/gen_models.012.png,19,12
63,images/gen_models/gen_models.019.png,18,19
63,images/gen_models/gen_models.046.png,18,46
63,images/gen_models/gen_models.005.png,20,5
63,images/gen_models/gen_models.028.png,54,28
63,images/gen_models/gen_models.003.png,66,3
63,images/gen_models/gen_models.033.png,57,33
63,images/gen_models/gen_models.043.png,70,43
63,images/gen_models/gen_models.041.png,56,41
63,images/gen_models/gen_models.013.png,79,13
63,images/gen_models/gen_models.036.png,62,36
63,images/gen_models/gen_models.006.png,66,6
63,images/gen_models/gen_models.054.png,67,54
63,images/gen_models/gen_models.031.png,70,31
63,images/gen_models/gen_models.050.png,60,50
63,images/gen_models/gen_models.009.png,50,9
63,images/gen_models/gen_models.026.png,57,26
63,images/gen_models/gen_models.015.png,40,15
63,images/gen_models/gen_models.011.png,73,11
63,images/gen_models/gen_models.029.png,52,29
63,images/gen_models/gen_models.027.png,62,27
63,images/gen_models/gen_models.035.png,91,35
