Trial,Judgment
t3_a1b3c3_(0 0 0)_2,0.76
t3_a1b3c3_(0 0 0)_2,0.920556
t3_a1b3c3_(0 0 0)_2,0.696667
t3_a1b3c3_(0 0 0)_2,0.726667
t3_a1b3c3_(0 0 0)_2,0.0733333
t3_a1b3c3_(0 0 0)_2,0.721667
t3_a1b3c3_(0 0 0)_2,0.795444
t3_a1b3c3_(0 0 0)_2,0.709763
t3_a1b3c3_(0 0 0)_2,0.828333
t3_a1b3c3_(0 0 0)_2,0.992778
t3_a1b3c3_(0 0 0)_2,0.97
t3_a1b3c3_(0 0 0)_2,0.863889
t3_a2b1c3_(0 0 0)_0,0.315
t3_a2b1c3_(0 0 0)_0,0.0
t3_a2b1c3_(0 0 0)_0,0.0
t3_a2b1c3_(0 0 0)_0,0.0
t3_a2b1c3_(0 0 0)_0,0.121667
t3_a2b1c3_(0 0 0)_0,0.0938889
t3_a2b1c3_(0 0 0)_0,1.0
t3_a2b1c3_(0 0 0)_0,0.48
t3_a2b1c3_(0 0 0)_0,0.0
t3_a2b1c3_(0 0 0)_0,0.52
t3_a2b1c3_(0 0 0)_0,0.486667
t3_a2b1c3_(0 0 0)_0,0.225556
t3_a2b1c3_(0 0 0)_0,0.138333
t3_a2b1c3_(0 0 0)_0,0.492267
t3_a2b1c3_(0 0 0)_0,0.253333
t3_a2b1c3_(0 0 0)_0,0.13
t3_a2b1c3_(0 0 0)_0,0.525444
t3_a2b1c3_(0 0 0)_0,0.663333
t3_a2b1c3_(0 0 0)_0,0.0405556
t3_a2b1c3_(0 0 0)_1,0.288333
t3_a2b1c3_(0 0 0)_1,0.0
t3_a2b1c3_(0 0 0)_1,0.0
t3_a2b1c3_(0 0 0)_1,0.0
t3_a2b1c3_(0 0 0)_1,0.145
t3_a2b1c3_(0 0 0)_1,0.063889
t3_a2b1c3_(0 0 0)_1,1.0
t3_a2b1c3_(0 0 0)_1,0.513333
t3_a2b1c3_(0 0 0)_1,0.06
t3_a2b1c3_(0 0 0)_1,0.51
t3_a2b1c3_(0 0 0)_1,0.53
t3_a2b1c3_(0 0 0)_1,0.242222
t3_a2b1c3_(0 0 0)_1,0.0483333
t3_a2b1c3_(0 0 0)_1,0.951567
t3_a2b1c3_(0 0 0)_1,0.263333
t3_a2b1c3_(0 0 0)_1,0.16
t3_a2b1c3_(0 0 0)_1,0.455444
t3_a2b1c3_(0 0 0)_1,0.633333
t3_a2b1c3_(0 0 0)_1,0.063889
t3_a2b1c3_(0 0 0)_2,0.938333
t3_a2b1c3_(0 0 0)_2,0.866667
t3_a2b1c3_(0 0 0)_2,1.0
t3_a2b1c3_(0 0 0)_2,0.8218
t3_a2b1c3_(0 0 0)_2,1.0
t3_a2b1c3_(0 0 0)_2,0.973889
t3_a2b1c3_(0 0 0)_2,1.0
t3_a2b1c3_(0 0 0)_2,0.89
t3_a2b1c3_(0 0 0)_2,1.0
t3_a2b1c3_(0 0 0)_2,0.516667
t3_a2b1c3_(0 0 0)_2,0.993333
t3_a2b1c3_(0 0 0)_2,0.905556
t3_a2b1c3_(0 0 0)_2,0.958333
t3_a2b1c3_(0 0 0)_2,0.1763
t3_a2b1c3_(0 0 0)_2,0.796667
t3_a2b1c3_(0 0 0)_2,0.853333
t3_a2b1c3_(0 0 0)_2,0.762111
t3_a2b1c3_(0 0 0)_2,0.993333
t3_a2b1c3_(0 0 0)_2,0.570556
t3_a2b1c3_(0 1 0)_0,0.733333
t3_a2b1c3_(0 1 0)_0,0.891667
t3_a2b1c3_(0 1 0)_0,1.0
t3_a2b1c3_(0 1 0)_0,0.42
t3_a2b1c3_(0 1 0)_0,0.0166667
t3_a2b1c3_(0 1 0)_0,0.0
t3_a2b1c3_(0 1 0)_0,0.0
t3_a2b1c3_(0 1 0)_0,0.62
t3_a2b1c3_(0 1 0)_0,0.127222
t3_a2b1c3_(0 1 0)_0,0.0116667
t3_a2b1c3_(0 1 0)_0,0.198933
t3_a2b1c3_(0 1 0)_0,0.675556
t3_a2b1c3_(0 1 0)_0,0.316667
t3_a2b1c3_(0 1 0)_0,0.913333
t3_a2b1c3_(0 1 0)_0,0.835
t3_a2b1c3_(0 1 0)_0,0.592188
t3_a2b1c3_(0 1 0)_0,0.00833333
t3_a2b1c3_(0 1 0)_0,0.376667
t3_a2b1c3_(0 1 0)_1,0.676667
t3_a2b1c3_(0 1 0)_1,0.181667
t3_a2b1c3_(0 1 0)_1,0.0
t3_a2b1c3_(0 1 0)_1,0.44
t3_a2b1c3_(0 1 0)_1,0.983333
t3_a2b1c3_(0 1 0)_1,1.0
t3_a2b1c3_(0 1 0)_1,0.0
t3_a2b1c3_(0 1 0)_1,0.11
t3_a2b1c3_(0 1 0)_1,0.877222
t3_a2b1c3_(0 1 0)_1,0.721667
t3_a2b1c3_(0 1 0)_1,0.2256
t3_a2b1c3_(0 1 0)_1,0.715556
t3_a2b1c3_(0 1 0)_1,0.173333
t3_a2b1c3_(0 1 0)_1,0.92
t3_a2b1c3_(0 1 0)_1,0.658333
t3_a2b1c3_(0 1 0)_1,0.0
t3_a2b1c3_(0 1 0)_1,0.721667
t3_a2b1c3_(0 1 0)_1,0.333333
t3_a2b1c3_(0 1 0)_2,0.743333
t3_a2b1c3_(0 1 0)_2,0.0716667
t3_a2b1c3_(0 1 0)_2,1.0
t3_a2b1c3_(0 1 0)_2,0.59
t3_a2b1c3_(0 1 0)_2,0.986667
t3_a2b1c3_(0 1 0)_2,1.0
t3_a2b1c3_(0 1 0)_2,1.0
t3_a2b1c3_(0 1 0)_2,0.813333
t3_a2b1c3_(0 1 0)_2,0.837222
t3_a2b1c3_(0 1 0)_2,1.0
t3_a2b1c3_(0 1 0)_2,0.838933
t3_a2b1c3_(0 1 0)_2,0.732222
t3_a2b1c3_(0 1 0)_2,0.803333
t3_a2b1c3_(0 1 0)_2,0.943333
t3_a2b1c3_(0 1 0)_2,0.285
t3_a2b1c3_(0 1 0)_2,0.729763
t3_a2b1c3_(0 1 0)_2,0.961667
t3_a2b1c3_(0 1 0)_2,0.753333
