User,Trial,Judgment
11_j1vDtTp,t1_a1b1c1_(0 0 0)_1,0.391712040435
39_YQyyB14,t1_a1b1c1_(0 0 0)_1,0.579958685264
42_aHtMefp,t1_a1b1c1_(0 0 0)_2,0.805061326036
25_BuDQpFc,t1_a1b1c1_(0 0 0)_2,1.59943623678
13_nM7Ulbd,t1_a1b1c1_(0 0 0)_2,1.18728224767
30_jC2dXiS,t1_a1b1c1_(0 0 0)_2,-0.773331354955
1_XpEAB0a,t1_a1b1c1_(0 0 0)_2,1.13836072871
4_CHFg6NW,t1_a1b1c1_(0 0 0)_2,1.16646845921
19_3r57o1N,t1_a1b1c1_(0 0 0)_2,0.411801157952
8_4XE7r9i,t1_a1b1c1_(0 0 0)_2,1.14527271814
24_7ssmgfs,t1_a1b1c1_(0 0 0)_2,0.619166733135
16_of6dk63,t1_a1b1c1_(0 0 0)_2,0.793905544371
35_G2aomnD,t1_a1b1c1_(0 0 0)_2,0.243381217896
7_VidtrC2,t1_a1b1c1_(0 0 0)_2,0.0167175513379
6_cnDY4gC,t1_a1b1c1_(0 0 0)_2,0.64202363504
45_RkpfhL8,t1_a1b1c1_(0 0 0)_2,0.855799998682
5_nnbGaWy,t1_a1b1c1_(0 0 0)_2,1.72204040365
2_RGLtdnp,t1_a1b1c1_(0 0 0)_2,-0.962025922335
13_3jCv8tW,t1_a1b1c1_(0 0 0)_2,0.824675704755
33_LIglyxa,t1_a1b1c1_(0 0 0)_2,0.534705422252
11_j1vDtTp,t1_a1b1c1_(0 0 0)_2,0.434423020542
39_YQyyB14,t1_a1b1c1_(0 0 0)_2,0.599944318544
1_6eemqZm,t3_a2b2c3_(0 0 0)_0,-1.13195237636
11_rcfc5Hn,t3_a2b2c3_(0 0 0)_0,0.0423069379155
30_jC2dXiS,t3_a2b2c3_(0 0 0)_0,-0.773331354955
1_XpEAB0a,t3_a2b2c3_(0 0 0)_0,-1.18297777671
44_svUoKpG,t3_a2b2c3_(0 0 0)_0,-0.824195743193
40_2dq7xtn,t3_a2b2c3_(0 0 0)_0,-1.23921306645
12_8eRL48P,t3_a2b2c3_(0 0 0)_0,-0.72923235544
15_nhfuddl,t3_a2b2c3_(0 0 0)_0,0.753637968984
22_o6112Xi,t3_a2b2c3_(0 0 0)_0,-1.11339338426
16_of6dk63,t3_a2b2c3_(0 0 0)_0,-1.28096071089
35_G2aomnD,t3_a2b2c3_(0 0 0)_0,-1.30280592164
26_7oCK4MP,t3_a2b2c3_(0 0 0)_0,-1.03661095841
5_nnbGaWy,t3_a2b2c3_(0 0 0)_0,0.458854869302
21_njtKrH3,t3_a2b2c3_(0 0 0)_0,-1.02286594767
4_vG0Y4D5,t3_a2b2c3_(0 0 0)_0,-0.149520732447
